sentence,span,type,uri,relation,question,gold givenName
"When Paganini returned from France and England, he was called upon frequently by the young artist, to hear him play and ask his advice; and although at this time the great violinist was grievously indisposed, he neither withheld his playing nor refused his assistance to his young friend. M. Dellepiane, who was first violin at the Theatre Carlo Felice at Genoa, and master of the Conservatoire of the same city, was taken ill;",Paganini,person,(Q66075),given name,What is the given name of Paganini?,Niccolò
"It contains, in 519 neatly printed pages, everything Mendelssohn has written for the pianoforte, from the Capriccio in F sharp minor, Op. 5, composed in 1825, at the age of 16, to his latest works, including several published after his death.",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"The talents of Pepusch as a composer were not likely to prove a source of wealth to him; his music was correct, but it wanted variety; besides which, Handel was in possession of the public ear, and the whole kingdom were forming their taste for harmony and melody, by the standard of his compositions.",Pepusch,person,(Q371825),given name,What is the given name of Pepusch?,Johann; Christoph
"The talents of Pepusch as a composer were not likely to prove a source of wealth to him; his music was correct, but it wanted variety; besides which, Handel was in possession of the public ear, and the whole kingdom were forming their taste for harmony and melody, by the standard of his compositions.",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"The subject of Camacho is so admirably adapted for an opera, that Iam surprised it has never been thought of before; — it unites the romantic and the comic, so as to afford room for grea variety of musical expression and effect; and of this advantage Mr. Mendelssohn has fully availed himself.",Mr. Mendelssohn,person,(Q46096),given name,What is the given name of Mr. Mendelssohn?,Felix
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Mr. DRESELr,person,(Q96415095),given name,What is the given name of Mr. DRESELr?,William
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Ferdi- : nand Hiller,person,(Q213530),given name,What is the given name of Ferdi- : nand Hiller?,Ferdinand
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Chopin,person,(Q1268),given name,What is the given name of Chopin?,Franciszek; Fryderyk
"On the 28th of December, Madame Fodor appeared, for the first time, in the Barbiere di Siviglia; and the applause of a house crowded in every part testified the delight caused by her performance.",Madame Fodor,person,(Q1002317),given name,What is the given name of Madame Fodor?,Josephine; Joséphine
We have undoubted proof that it would be impossibte for any person to approach a subject in a more deeply religious frame of mind than did Haydn when he commenced the composition of the Creation.,Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
"The compositions for the former are generally firnished from Parts - and London; for the latter, choice is made of Momrt, Pleyel, Steibeit, and other easy masters.",Pleyel,person,(Q314019),given name,What is the given name of Pleyel?,Ignaz
"The compositions for the former are generally firnished from Parts - and London; for the latter, choice is made of Momrt, Pleyel, Steibeit, and other easy masters.",Steibeit,person,(Q657464),given name,What is the given name of Steibeit?,Daniel
"The works selected by the Philharmonic. Society for the forthcoming season include Handel’s “Acis and Galatea,” Villiers Stanford’s fine choral ballad ‘The Revenge,” and Schubert’s cantata' ‘The Song of Miriam.”",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"The works selected by the Philharmonic. Society for the forthcoming season include Handel’s “Acis and Galatea,” Villiers Stanford’s fine choral ballad ‘The Revenge,” and Schubert’s cantata' ‘The Song of Miriam.”",Villiers Stanford,person,(Q368264),given name,What is the given name of Villiers Stanford?,Charles; Villiers
"The works selected by the Philharmonic. Society for the forthcoming season include Handel’s “Acis and Galatea,” Villiers Stanford’s fine choral ballad ‘The Revenge,” and Schubert’s cantata' ‘The Song of Miriam.”",Schubert,person,(Q7312),given name,What is the given name of Schubert?,Peter; Franz; Seraphicus
"‘Military Band Organisation’ read before the Royal United Service Institution, on March 25, 1892, -by Colonel T. B. Shaw - Hellier, a former Commandant of Kneller Hall, who is well known in the army for his musical abilities, andwho, during his six years’ tenure of office at Kneller Hall, did a great deal to improve the Institution.",Colonel T. B. Shaw - Hellier,person,(Q98098664),given name,What is the given name of Colonel T. B. Shaw - Hellier?,Thomas
"On his way to. Germany, through Holland, Vieuxtemps stopped at the Hague, which coming to the knowledge of His Majesty the King of Holland, that illustrious personage immediately sent for the eminent violinist, received him most graciously, and expressed his desire to hear the Concerto which Vieuxtemps has dedicated to him",Vieuxtemps,person,(Q312790),given name,What is the given name of Vieuxtemps?,Henri
"On his way to. Germany, through Holland, Vieuxtemps stopped at the Hague, which coming to the knowledge of His Majesty the King of Holland, that illustrious personage immediately sent for the eminent violinist, received him most graciously, and expressed his desire to hear the Concerto which Vieuxtemps has dedicated to him",His Majesty the King of,person,(Q154287),given name,What is the given name of His Majesty the King of?,Willem
"On his way to. Germany, through Holland, Vieuxtemps stopped at the Hague, which coming to the knowledge of His Majesty the King of Holland, that illustrious personage immediately sent for the eminent violinist, received him most graciously, and expressed his desire to hear the Concerto which Vieuxtemps has dedicated to him",Vieuxtemps,person,(Q312790),given name,What is the given name of Vieuxtemps?,Henri
"While the symphonies of Mozart and Haydn were here given in full force, the Masses were on occasions performed with instruments both at the Portuguese and Moorfields chapels.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"While the symphonies of Mozart and Haydn were here given in full force, the Masses were on occasions performed with instruments both at the Portuguese and Moorfields chapels.",Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
"On St. Cecilia’s Day, 1695, the Plan of a Grand Concert of Music — at which some of the works of the forgotten Italian composer, Giovanni Battista Bassani (16571716), said to be the master of Corelli, were presented",St. Cecilia,person,(Q80513),given name,What is the given name of St. Cecilia?,
"On St. Cecilia’s Day, 1695, the Plan of a Grand Concert of Music — at which some of the works of the forgotten Italian composer, Giovanni Battista Bassani (16571716), said to be the master of Corelli, were presented",Giovanni Battista Bassani,person,(Q465565),given name,What is the given name of Giovanni Battista Bassani?,Giovanni Battista
"On St. Cecilia’s Day, 1695, the Plan of a Grand Concert of Music — at which some of the works of the forgotten Italian composer, Giovanni Battista Bassani (16571716), said to be the master of Corelli, were presented",Corelli,person,(Q164475),given name,What is the given name of Corelli?,Arcangelo
"The Scottish Orchestra has again been engaged, under its fourth conductor, Mr. Frederic H. Cowen; and the Edinburgh Choral Union, Mr. Kirkhope’s and Mr. Moonie’s choirs (the latter for the first time) will take part in the scheme.",Mr. Frederic H. Cowen,person,(Q1452734),given name,What is the given name of Mr. Frederic H. Cowen?,Q16275883; Hymen
"The favourite airs in Rossini’s Opera of La Gazza LapRa, erranged for the Piano - Forte, with an Accompaniment for the Flute. by T. Latour, Pianiste ‘to His Majesty.",Rossini,person,(Q9726),given name,What is the given name of Rossini?,Gioacchino
"The favourite airs in Rossini’s Opera of La Gazza LapRa, erranged for the Piano - Forte, with an Accompaniment for the Flute. by T. Latour, Pianiste ‘to His Majesty.",T. Latour,person,(Q6171596),given name,What is the given name of T. Latour?,François; Corneil
"The favourite airs in Rossini’s Opera of La Gazza LapRa, erranged for the Piano - Forte, with an Accompaniment for the Flute. by T. Latour, Pianiste ‘to His Majesty.",His Majesty,person,(Q130586),given name,What is the given name of His Majesty?,Augustus; Frederick; Q15921732
"The Rev. Wiliam Gostling, Minor Canon of Canterbury Cathedral, was the son of that Mr. Gostling, Sub - Dean of St. Paul’s, for whom Purcell wrote his celebrated anthem,",Rev. Wiliam Gostling,person,(Q15994466),given name,What is the given name of Rev. Wiliam Gostling?,William
"The Rev. Wiliam Gostling, Minor Canon of Canterbury Cathedral, was the son of that Mr. Gostling, Sub - Dean of St. Paul’s, for whom Purcell wrote his celebrated anthem,",Mr. Gostling,person,(Q3181623),given name,What is the given name of Mr. Gostling?,John
"The Rev. Wiliam Gostling, Minor Canon of Canterbury Cathedral, was the son of that Mr. Gostling, Sub - Dean of St. Paul’s, for whom Purcell wrote his celebrated anthem,",Purcell,person,(Q9695),given name,What is the given name of Purcell?,Henry
"Madame Vestris is also a reigning favourite, which, strange to say, she becomes by lowering her original Italian ‘style to the light but coarse ballads of the Kuglish comic opera “Cherry ripe’ for example.",Madame Vestris,person,(Q6696635),given name,What is the given name of Madame Vestris?,Lucia
"The Lamoureux Concert of November 24 proved to be particularly interesting, including as it did the first performance of the “Chansons de Miarka’” of M. Alexandre Georges, set to the poetry of M. Richepin",M. Alexandre Georges,person,(Q2833698),given name,What is the given name of M. Alexandre Georges?,Alexandre
"The Lamoureux Concert of November 24 proved to be particularly interesting, including as it did the first performance of the “Chansons de Miarka’” of M. Alexandre Georges, set to the poetry of M. Richepin",M. Richepin,person,(Q551744),given name,What is the given name of M. Richepin?,Q133247598
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Cowen,person,(Q1452734),given name,What is the given name of Cowen?,Q16275883; Hymen
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Stewart,person,(Q4444837),given name,What is the given name of Stewart?,Robert
"Some short passages interspersed in Fidelio, will remind the hearers of modulations and effects in Mozart’s Figaro and his Don Giovanni.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",Mr. Cowen,person,(Q1452734),given name,What is the given name of Mr. Cowen?,Q16275883; Hymen
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",Herr Bruch,person,(Q106434),given name,What is the given name of Herr Bruch?,Max
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",Herr Moszkowski,person,(Q322427),given name,What is the given name of Herr Moszkowski?,Moritz
"The fine Organ made by Mr. Schrieder, which was setup in Westminster Abbey, and used on the Day of the Coronation, has been presented to the said Abbey by his. Majesty.",his . Majesty,person,(Q20875),given name,What is the given name of his . Majesty?,Edward; Q577011
"When Meyerbeer was last in England (in 1832), he came to preside over the rehearsals of his Robert le Diable, on the occasion of that celebrated opera being produced, by Mr. Monck Mason, at Her Majesty’s Theatre.",Meyerbeer,person,(Q105237),given name,What is the given name of Meyerbeer?,Giacomo
"For the commencement of it the author is indebted to the Pastoral Symphony of Beethoven, and the first subject of the last movement is very like a popular melody of Mozart.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"For the commencement of it the author is indebted to the Pastoral Symphony of Beethoven, and the first subject of the last movement is very like a popular melody of Mozart.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Miss Stephens,person,(Q5052928),given name,What is the given name of Miss Stephens?,Catherine
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Dr. Crotch,person,(Q718709),given name,What is the given name of Dr. Crotch?,William
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Miss Paton,person,(Q16888398),given name,What is the given name of Miss Paton?,Ann; Mary
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Dr. Crotch,person,(Q718709),given name,What is the given name of Dr. Crotch?,William
"The names of Grisi, Persiani, and other celebrities who had made - their English: reputation before Mr. Lumley caine info the managemeut, will, of course, occur to all readers, who will also remember in how many brilliant particular school it’ professed to ilus-.",Grisi,person,(Q287812),given name,What is the given name of Grisi?,Carlotta
"The names of Grisi, Persiani, and other celebrities who had made - their English: reputation before Mr. Lumley caine info the managemeut, will, of course, occur to all readers, who will also remember in how many brilliant particular school it’ professed to ilus-.",Persiani,person,(Q2280304),given name,What is the given name of Persiani?,Giuseppe
"The names of Grisi, Persiani, and other celebrities who had made - their English: reputation before Mr. Lumley caine info the managemeut, will, of course, occur to all readers, who will also remember in how many brilliant particular school it’ professed to ilus-.",Mr. Lumley,person,(Q2896159),given name,What is the given name of Mr. Lumley?,Benjamin
"The songs composed for Mrs. Weichsel, many of which were written by C. Bach, show that she had a voice of unusual height, reaching to the in altissimo, and great facility of execution.",Mrs. Weichsel,person,(Q5362421),given name,What is the given name of Mrs. Weichsel?,Elizabeth
"The songs composed for Mrs. Weichsel, many of which were written by C. Bach, show that she had a voice of unusual height, reaching to the in altissimo, and great facility of execution.",C. Bach,person,(Q106641),given name,What is the given name of C. Bach?,Johann; Christian
"Thas, also, in Bach we tind sticntifie, artiticially- “construct ed music: in Ui: avdu, Mozart, and Beethoven, grace and, enphouy united to riclmess aul depth af. intelfeet; in’ the modert empty unkling or pedantic tedieustiess.",Bach,person,(Q1339),given name,What is the given name of Bach?,Sebastian; Johann
"Thas, also, in Bach we tind sticntifie, artiticially- “construct ed music: in Ui: avdu, Mozart, and Beethoven, grace and, enphouy united to riclmess aul depth af. intelfeet; in’ the modert empty unkling or pedantic tedieustiess.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"Thas, also, in Bach we tind sticntifie, artiticially- “construct ed music: in Ui: avdu, Mozart, and Beethoven, grace and, enphouy united to riclmess aul depth af. intelfeet; in’ the modert empty unkling or pedantic tedieustiess.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"Mdlle. Carrozi, a harpist of great ability, whom Mr. Newman has engaged for his orchestra, played her first harp solo at the Queen’s Hall, on the rst ult., and proved herself to be an interesting player",Mr. Newman,person,(Q7348018),given name,What is the given name of Mr. Newman?,Robert
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Mr. Charles Hallé,person,(Q65648),given name,What is the given name of Mr. Charles Hallé?,Charles
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Signorina Barbi,person,(Q3611669),given name,What is the given name of Signorina Barbi?,Alice
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Mr. Joseph Maas,person,(Q686719),given name,What is the given name of Mr. Joseph Maas?,Joseph
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Madame Norman - Néruda,person,(Q78938),given name,What is the given name of Madame Norman - Néruda?,Wilma
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Mr. Hallé,person,(Q65648),given name,What is the given name of Mr. Hallé?,Charles
"The prospectus announces that this work, translated into Italian, and the principal part sustained by Madame Pauline Lucca, will positively be produced, Mdlle. Gertrude Griswold (who will make her first appearance on the stage in England), being also included in the cast.",Madame Pauline Lucca,person,(Q86422),given name,What is the given name of Madame Pauline Lucca?,Pauline
"Ar the eleventh Subscription Concert of the Choral Union Series, on the 3rd ult., the chief novelty was the late Friedrich Smetana’s ‘Comedy - Overture,’”’ performed last winter at the Philharmonic Concerts at Berlin and at the Crystal Palace Concerts.",Friedrich Smetana,person,(Q48173),given name,What is the given name of Friedrich Smetana?,Bedřich
"Hence Mademoiselle Bonini has been probably underprized from the superiority of those supremely great singers, Catalani and Pasta, whom she has directly succeeded at the King’s Theatre, and with whom she is consequently immediately compared.",Mademoiselle Bonini,person,(Q5479435),given name,What is the given name of Mademoiselle Bonini?,Francesco
"Hence Mademoiselle Bonini has been probably underprized from the superiority of those supremely great singers, Catalani and Pasta, whom she has directly succeeded at the King’s Theatre, and with whom she is consequently immediately compared.",Catalani,person,(Q263405),given name,What is the given name of Catalani?,Angelica
"Hence Mademoiselle Bonini has been probably underprized from the superiority of those supremely great singers, Catalani and Pasta, whom she has directly succeeded at the King’s Theatre, and with whom she is consequently immediately compared.",Pasta,person,(Q240963),given name,What is the given name of Pasta?,Q18191101
"The directors of the famous Gewandhaus Concerts in Leipzig have invited’ FErpinanp Ui1LER, of Cologne, to the post of conductor, vaca: ted by Rietz; but Hiller, probably the- best man ‘in all Germany, unfortunately declines.",FErpinanp Ui1LER,person,(Q213530),given name,What is the given name of FErpinanp Ui1LER?,Ferdinand
"The directors of the famous Gewandhaus Concerts in Leipzig have invited’ FErpinanp Ui1LER, of Cologne, to the post of conductor, vaca: ted by Rietz; but Hiller, probably the- best man ‘in all Germany, unfortunately declines.",Rietz,person,(Q63745),given name,What is the given name of Rietz?,Julius
"The directors of the famous Gewandhaus Concerts in Leipzig have invited’ FErpinanp Ui1LER, of Cologne, to the post of conductor, vaca: ted by Rietz; but Hiller, probably the- best man ‘in all Germany, unfortunately declines.",Hiller,person,(Q213530),given name,What is the given name of Hiller?,Ferdinand
"The Keighley Musical Union, on the 3rd ult., had distinction conferred upon it by the presence of Professor Prout, who conducted a creditable performance of his cantata ‘Hereward,” the chorus - singing being decidedly its finest feature.",Professor Prout,person,(Q5331730),given name,What is the given name of Professor Prout?,Ebenezer
"Mr. ARTHUR SOMERVELL gave a concert of his own compositions, at St. James's Hail, on the 7th ult.. at which he played, with Mr. Leonard Borwick, a set of Variations for two pianofortes on an original theme.",Mr. ARTHUR SOMERVELL,person,(Q4800330),given name,What is the given name of Mr. ARTHUR SOMERVELL?,Q1778168
"Mr. ARTHUR SOMERVELL gave a concert of his own compositions, at St. James's Hail, on the 7th ult.. at which he played, with Mr. Leonard Borwick, a set of Variations for two pianofortes on an original theme.",Mr. Leonard Borwick,person,(Q376085),given name,What is the given name of Mr. Leonard Borwick?,Leonard
"A very worthy local organisation, the Amateur Orchestral Society, under the able direction of Mr. Ralph Horner, is Schumann’s “Advent Hymn.” again in full activity, rehearsing for its Concert to take place this month.",Schumann,person,(Q7351),given name,What is the given name of Schumann?,Robert
"On the evening of Sunday, the 3rd ult., a special Service was held in St. George’s Church, Stuyvesant Square, in commemoration of the twenty - fifth anniversary of Mr. George William Warren as organist of St. Thomas’s Church.",Mr. George William Warren,person,(Q20726537),given name,What is the given name of Mr. George William Warren?,William; Q15921732
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Madame Viardot,person,(Q122998),given name,What is the given name of Madame Viardot?,Pauline
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Graun,person,(Q161208),given name,What is the given name of Graun?,Carl
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"Mr. Arthur Bent’s orchestra is also announced to give two concerts on December 7, Tchaikovsky’s Serenade for The third concert by the Choral and Philstrings (Op. 48) and Bach’s Concerto for two violins and orchestra being the chief features.",Tchaikovsky,person,(Q7315),given name,What is the given name of Tchaikovsky?,Pyotr
"Mr. Arthur Bent’s orchestra is also announced to give two concerts on December 7, Tchaikovsky’s Serenade for The third concert by the Choral and Philstrings (Op. 48) and Bach’s Concerto for two violins and orchestra being the chief features.",Bach,person,(Q1339),given name,What is the given name of Bach?,Sebastian; Johann
"At their first concert, under the direction of Dr. Bates, Mark Ilambourg will be the solo pianist, and the Norwich Choral Society will contribute Hugh Blair’s ‘Trafalgar,’ composed expressly for the Nelson centenary.",Mark Ilambourg,person,(Q1900092),given name,What is the given name of Mark Ilambourg?,Mark
"At their first concert, under the direction of Dr. Bates, Mark Ilambourg will be the solo pianist, and the Norwich Choral Society will contribute Hugh Blair’s ‘Trafalgar,’ composed expressly for the Nelson centenary.",Hugh Blair,person,(Q5930050),given name,What is the given name of Hugh Blair?,Hugh
"At their first concert, under the direction of Dr. Bates, Mark Ilambourg will be the solo pianist, and the Norwich Choral Society will contribute Hugh Blair’s ‘Trafalgar,’ composed expressly for the Nelson centenary.",Nelson,person,(Q83235),given name,What is the given name of Nelson?,Horatio
"The performance of the work in St. James's Hall, under Myr. Otto Goldschmidt, had many good points, and Mr. Parry found no small part of a friendly audience willing to bestow applause.",Myr . Otto Goldschmidt,person,(Q320046),given name,What is the given name of Myr . Otto Goldschmidt?,Otto
"The performance of the work in St. James's Hall, under Myr. Otto Goldschmidt, had many good points, and Mr. Parry found no small part of a friendly audience willing to bestow applause.",Mr. Parry,person,(Q6251304),given name,What is the given name of Mr. Parry?,John
"Spagnoletti, the leader, the fine Roman lineaments of whose countenance should have been pourtrayed by a Titian or Vandyke, was the animating spirit of the orchestra.",Titian,person,(Q47551),given name,What is the given name of Titian?,Tiziano
"Spagnoletti, the leader, the fine Roman lineaments of whose countenance should have been pourtrayed by a Titian or Vandyke, was the animating spirit of the orchestra.",Vandyke,person,(Q150679),given name,What is the given name of Vandyke?,Anthony
"Galuppi had the art of exciting to the utmust the emulation of his pupils, and produced, ir 1771, three eminent singers, La Rota, Pasqua Rossi, and Ortolani, lected by its present master, staf ef all emulation.",Galuppi,person,(Q208338),given name,What is the given name of Galuppi?,Baldassare
"The quartets from Rigoletto and Oberon, both excellent specimens of their widely different schools, could hardly have been intrusted to more competent artists than Madame Novello, Miss Dolby, Mr. Sims Reeves, and Mr. Weiss.",Madame Novello,person,(Q4322567),given name,What is the given name of Madame Novello?,Anastasia; Clara
"The quartets from Rigoletto and Oberon, both excellent specimens of their widely different schools, could hardly have been intrusted to more competent artists than Madame Novello, Miss Dolby, Mr. Sims Reeves, and Mr. Weiss.",Miss Dolby,person,(Q4164386),given name,What is the given name of Miss Dolby?,Charlotte
"The quartets from Rigoletto and Oberon, both excellent specimens of their widely different schools, could hardly have been intrusted to more competent artists than Madame Novello, Miss Dolby, Mr. Sims Reeves, and Mr. Weiss.",Mr. Sims Reeves,person,(Q7521239),given name,What is the given name of Mr. Sims Reeves?,John
"The quartets from Rigoletto and Oberon, both excellent specimens of their widely different schools, could hardly have been intrusted to more competent artists than Madame Novello, Miss Dolby, Mr. Sims Reeves, and Mr. Weiss.",Mr. Weiss,person,(Q8022239),given name,What is the given name of Mr. Weiss?,Willoughby
"My remarks on the major and minor semitones, in the Harmonicon for October, have produced an answer, in your Number for February, by the Rev. Mr. Liston, the inventor of the Euharmonic Organ.",Rev. Mr. Liston,person,(Q5724966),given name,What is the given name of Rev. Mr. Liston?,Henry
"When Pugnani and Viotti quitted St. Petersburg, where they had been loaded with favours by Catherine the Second, they paid a visit to Berlin, at the time that our violinist was in possession of the public favour.",Pugnani,person,(Q560926),given name,What is the given name of Pugnani?,Gaetano; Giulio; Gerolamo
"When Pugnani and Viotti quitted St. Petersburg, where they had been loaded with favours by Catherine the Second, they paid a visit to Berlin, at the time that our violinist was in possession of the public favour.",Viotti,person,(Q313188),given name,What is the given name of Viotti?,Giovanni Battista
"When Pugnani and Viotti quitted St. Petersburg, where they had been loaded with favours by Catherine the Second, they paid a visit to Berlin, at the time that our violinist was in possession of the public favour.",Catherine the Second,person,(Q36450),given name,What is the given name of Catherine the Second?,Catherine; Sophie; Katharina; Ekaterina
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Méhul,person,(Q364020),given name,What is the given name of Méhul?,Nicolas; Étienne
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Spohr,person,(Q57226),given name,What is the given name of Spohr?,Louis
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Hummel,person,(Q151953),given name,What is the given name of Hummel?,Nepomuk; Johann
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Cherubini,person,(Q20721),given name,What is the given name of Cherubini?,Louis-Marie
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Pergolesi,person,(Q185312),given name,What is the given name of Pergolesi?,Giovanni; Battista
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Cimarosa,person,(Q191775),given name,What is the given name of Cimarosa?,Domenico
