sentence,span,type,uri,relation,question,gold CoC
"When Paganini returned from France and England, he was called upon frequently by the young artist, to hear him play and ask his advice; and although at this time the great violinist was grievously indisposed, he neither withheld his playing nor refused his assistance to his young friend. M. Dellepiane, who was first violin at the Theatre Carlo Felice at Genoa, and master of the Conservatoire of the same city, was taken ill;",Paganini,person,(Q66075),country of citizenship,What is the country of citizenship of Paganini?,Republic of Genoa
"It contains, in 519 neatly printed pages, everything Mendelssohn has written for the pianoforte, from the Capriccio in F sharp minor, Op. 5, composed in 1825, at the age of 16, to his latest works, including several published after his death.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"The talents of Pepusch as a composer were not likely to prove a source of wealth to him; his music was correct, but it wanted variety; besides which, Handel was in possession of the public ear, and the whole kingdom were forming their taste for harmony and melody, by the standard of his compositions.",Pepusch,person,(Q371825),country of citizenship,What is the country of citizenship of Pepusch?,Germany
"The talents of Pepusch as a composer were not likely to prove a source of wealth to him; his music was correct, but it wanted variety; besides which, Handel was in possession of the public ear, and the whole kingdom were forming their taste for harmony and melody, by the standard of his compositions.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"The subject of Camacho is so admirably adapted for an opera, that Iam surprised it has never been thought of before; — it unites the romantic and the comic, so as to afford room for grea variety of musical expression and effect; and of this advantage Mr. Mendelssohn has fully availed himself.",Mr. Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mr. Mendelssohn?,Hamburg; Kingdom of Saxony
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Mr. DRESELr,person,(Q96415095),country of citizenship,What is the country of citizenship of Mr. DRESELr?,
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Ferdi- : nand Hiller,person,(Q213530),country of citizenship,What is the country of citizenship of Ferdi- : nand Hiller?,Kingdom of Prussia
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Chopin,person,(Q1268),country of citizenship,What is the country of citizenship of Chopin?,France; Russian Empire; French Second Republic; Duchy of Warsaw; Congress Poland
"On the 28th of December, Madame Fodor appeared, for the first time, in the Barbiere di Siviglia; and the applause of a house crowded in every part testified the delight caused by her performance.",Madame Fodor,person,(Q1002317),country of citizenship,What is the country of citizenship of Madame Fodor?,France
We have undoubted proof that it would be impossibte for any person to approach a subject in a more deeply religious frame of mind than did Haydn when he commenced the composition of the Creation.,Haydn,person,(Q7349),country of citizenship,What is the country of citizenship of Haydn?,Holy Roman Empire
"The compositions for the former are generally firnished from Parts - and London; for the latter, choice is made of Momrt, Pleyel, Steibeit, and other easy masters.",Pleyel,person,(Q314019),country of citizenship,What is the country of citizenship of Pleyel?,Austria; France
"The compositions for the former are generally firnished from Parts - and London; for the latter, choice is made of Momrt, Pleyel, Steibeit, and other easy masters.",Steibeit,person,(Q657464),country of citizenship,What is the country of citizenship of Steibeit?,Kingdom of Prussia
"The works selected by the Philharmonic. Society for the forthcoming season include Handel’s “Acis and Galatea,” Villiers Stanford’s fine choral ballad ‘The Revenge,” and Schubert’s cantata' ‘The Song of Miriam.”",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"The works selected by the Philharmonic. Society for the forthcoming season include Handel’s “Acis and Galatea,” Villiers Stanford’s fine choral ballad ‘The Revenge,” and Schubert’s cantata' ‘The Song of Miriam.”",Villiers Stanford,person,(Q368264),country of citizenship,What is the country of citizenship of Villiers Stanford?,Ireland; United Kingdom; United Kingdom of Great Britain and Ireland
"The works selected by the Philharmonic. Society for the forthcoming season include Handel’s “Acis and Galatea,” Villiers Stanford’s fine choral ballad ‘The Revenge,” and Schubert’s cantata' ‘The Song of Miriam.”",Schubert,person,(Q7312),country of citizenship,What is the country of citizenship of Schubert?,Austrian Empire; Archduchy of Austria
"‘Military Band Organisation’ read before the Royal United Service Institution, on March 25, 1892, -by Colonel T. B. Shaw - Hellier, a former Commandant of Kneller Hall, who is well known in the army for his musical abilities, andwho, during his six years’ tenure of office at Kneller Hall, did a great deal to improve the Institution.",Colonel T. B. Shaw - Hellier,person,(Q98098664),country of citizenship,What is the country of citizenship of Colonel T. B. Shaw - Hellier?,
"On his way to. Germany, through Holland, Vieuxtemps stopped at the Hague, which coming to the knowledge of His Majesty the King of Holland, that illustrious personage immediately sent for the eminent violinist, received him most graciously, and expressed his desire to hear the Concerto which Vieuxtemps has dedicated to him",Vieuxtemps,person,(Q312790),country of citizenship,What is the country of citizenship of Vieuxtemps?,Belgium
"On his way to. Germany, through Holland, Vieuxtemps stopped at the Hague, which coming to the knowledge of His Majesty the King of Holland, that illustrious personage immediately sent for the eminent violinist, received him most graciously, and expressed his desire to hear the Concerto which Vieuxtemps has dedicated to him",His Majesty the King of,person,(Q154287),country of citizenship,What is the country of citizenship of His Majesty the King of?,Kingdom of the Netherlands
"On his way to. Germany, through Holland, Vieuxtemps stopped at the Hague, which coming to the knowledge of His Majesty the King of Holland, that illustrious personage immediately sent for the eminent violinist, received him most graciously, and expressed his desire to hear the Concerto which Vieuxtemps has dedicated to him",Vieuxtemps,person,(Q312790),country of citizenship,What is the country of citizenship of Vieuxtemps?,Belgium
"While the symphonies of Mozart and Haydn were here given in full force, the Masses were on occasions performed with instruments both at the Portuguese and Moorfields chapels.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"While the symphonies of Mozart and Haydn were here given in full force, the Masses were on occasions performed with instruments both at the Portuguese and Moorfields chapels.",Haydn,person,(Q7349),country of citizenship,What is the country of citizenship of Haydn?,Holy Roman Empire
"On St. Cecilia’s Day, 1695, the Plan of a Grand Concert of Music — at which some of the works of the forgotten Italian composer, Giovanni Battista Bassani (16571716), said to be the master of Corelli, were presented",St. Cecilia,person,(Q80513),country of citizenship,What is the country of citizenship of St. Cecilia?,Ancient Rome
"On St. Cecilia’s Day, 1695, the Plan of a Grand Concert of Music — at which some of the works of the forgotten Italian composer, Giovanni Battista Bassani (16571716), said to be the master of Corelli, were presented",Giovanni Battista Bassani,person,(Q465565),country of citizenship,What is the country of citizenship of Giovanni Battista Bassani?,Republic of Venice
"On St. Cecilia’s Day, 1695, the Plan of a Grand Concert of Music — at which some of the works of the forgotten Italian composer, Giovanni Battista Bassani (16571716), said to be the master of Corelli, were presented",Corelli,person,(Q164475),country of citizenship,What is the country of citizenship of Corelli?,Papal States
"The Scottish Orchestra has again been engaged, under its fourth conductor, Mr. Frederic H. Cowen; and the Edinburgh Choral Union, Mr. Kirkhope’s and Mr. Moonie’s choirs (the latter for the first time) will take part in the scheme.",Mr. Frederic H. Cowen,person,(Q1452734),country of citizenship,What is the country of citizenship of Mr. Frederic H. Cowen?,United Kingdom; United Kingdom of Great Britain and Ireland
"The favourite airs in Rossini’s Opera of La Gazza LapRa, erranged for the Piano - Forte, with an Accompaniment for the Flute. by T. Latour, Pianiste ‘to His Majesty.",Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
"The favourite airs in Rossini’s Opera of La Gazza LapRa, erranged for the Piano - Forte, with an Accompaniment for the Flute. by T. Latour, Pianiste ‘to His Majesty.",T. Latour,person,(Q6171596),country of citizenship,What is the country of citizenship of T. Latour?,France
"The favourite airs in Rossini’s Opera of La Gazza LapRa, erranged for the Piano - Forte, with an Accompaniment for the Flute. by T. Latour, Pianiste ‘to His Majesty.",His Majesty,person,(Q130586),country of citizenship,What is the country of citizenship of His Majesty?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"The Rev. Wiliam Gostling, Minor Canon of Canterbury Cathedral, was the son of that Mr. Gostling, Sub - Dean of St. Paul’s, for whom Purcell wrote his celebrated anthem,",Rev. Wiliam Gostling,person,(Q15994466),country of citizenship,What is the country of citizenship of Rev. Wiliam Gostling?,Kingdom of Great Britain
"The Rev. Wiliam Gostling, Minor Canon of Canterbury Cathedral, was the son of that Mr. Gostling, Sub - Dean of St. Paul’s, for whom Purcell wrote his celebrated anthem,",Mr. Gostling,person,(Q3181623),country of citizenship,What is the country of citizenship of Mr. Gostling?,Kingdom of Great Britain
"The Rev. Wiliam Gostling, Minor Canon of Canterbury Cathedral, was the son of that Mr. Gostling, Sub - Dean of St. Paul’s, for whom Purcell wrote his celebrated anthem,",Purcell,person,(Q9695),country of citizenship,What is the country of citizenship of Purcell?,Kingdom of England
"Madame Vestris is also a reigning favourite, which, strange to say, she becomes by lowering her original Italian ‘style to the light but coarse ballads of the Kuglish comic opera “Cherry ripe’ for example.",Madame Vestris,person,(Q6696635),country of citizenship,What is the country of citizenship of Madame Vestris?,United Kingdom of Great Britain and Ireland
"The Lamoureux Concert of November 24 proved to be particularly interesting, including as it did the first performance of the “Chansons de Miarka’” of M. Alexandre Georges, set to the poetry of M. Richepin",M. Alexandre Georges,person,(Q2833698),country of citizenship,What is the country of citizenship of M. Alexandre Georges?,France
"The Lamoureux Concert of November 24 proved to be particularly interesting, including as it did the first performance of the “Chansons de Miarka’” of M. Alexandre Georges, set to the poetry of M. Richepin",M. Richepin,person,(Q551744),country of citizenship,What is the country of citizenship of M. Richepin?,France
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Cowen,person,(Q1452734),country of citizenship,What is the country of citizenship of Cowen?,United Kingdom; United Kingdom of Great Britain and Ireland
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Stewart,person,(Q4444837),country of citizenship,What is the country of citizenship of Stewart?,Ireland
"Some short passages interspersed in Fidelio, will remind the hearers of modulations and effects in Mozart’s Figaro and his Don Giovanni.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",Mr. Cowen,person,(Q1452734),country of citizenship,What is the country of citizenship of Mr. Cowen?,United Kingdom; United Kingdom of Great Britain and Ireland
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",Herr Bruch,person,(Q106434),country of citizenship,What is the country of citizenship of Herr Bruch?,Germany
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",Herr Moszkowski,person,(Q322427),country of citizenship,What is the country of citizenship of Herr Moszkowski?,Poland; France
"The fine Organ made by Mr. Schrieder, which was setup in Westminster Abbey, and used on the Day of the Coronation, has been presented to the said Abbey by his. Majesty.",his . Majesty,person,(Q20875),country of citizenship,What is the country of citizenship of his . Majesty?,United Kingdom of Great Britain and Ireland
"When Meyerbeer was last in England (in 1832), he came to preside over the rehearsals of his Robert le Diable, on the occasion of that celebrated opera being produced, by Mr. Monck Mason, at Her Majesty’s Theatre.",Meyerbeer,person,(Q105237),country of citizenship,What is the country of citizenship of Meyerbeer?,Kingdom of Prussia
"For the commencement of it the author is indebted to the Pastoral Symphony of Beethoven, and the first subject of the last movement is very like a popular melody of Mozart.",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"For the commencement of it the author is indebted to the Pastoral Symphony of Beethoven, and the first subject of the last movement is very like a popular melody of Mozart.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Miss Stephens,person,(Q5052928),country of citizenship,What is the country of citizenship of Miss Stephens?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Dr. Crotch,person,(Q718709),country of citizenship,What is the country of citizenship of Dr. Crotch?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Miss Paton,person,(Q16888398),country of citizenship,What is the country of citizenship of Miss Paton?,Scotland
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Dr. Crotch,person,(Q718709),country of citizenship,What is the country of citizenship of Dr. Crotch?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"The names of Grisi, Persiani, and other celebrities who had made - their English: reputation before Mr. Lumley caine info the managemeut, will, of course, occur to all readers, who will also remember in how many brilliant particular school it’ professed to ilus-.",Grisi,person,(Q287812),country of citizenship,What is the country of citizenship of Grisi?,Kingdom of Italy
"The names of Grisi, Persiani, and other celebrities who had made - their English: reputation before Mr. Lumley caine info the managemeut, will, of course, occur to all readers, who will also remember in how many brilliant particular school it’ professed to ilus-.",Persiani,person,(Q2280304),country of citizenship,What is the country of citizenship of Persiani?,Kingdom of Italy
"The names of Grisi, Persiani, and other celebrities who had made - their English: reputation before Mr. Lumley caine info the managemeut, will, of course, occur to all readers, who will also remember in how many brilliant particular school it’ professed to ilus-.",Mr. Lumley,person,(Q2896159),country of citizenship,What is the country of citizenship of Mr. Lumley?,United Kingdom of Great Britain and Ireland
"The songs composed for Mrs. Weichsel, many of which were written by C. Bach, show that she had a voice of unusual height, reaching to the in altissimo, and great facility of execution.",Mrs. Weichsel,person,(Q5362421),country of citizenship,What is the country of citizenship of Mrs. Weichsel?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"The songs composed for Mrs. Weichsel, many of which were written by C. Bach, show that she had a voice of unusual height, reaching to the in altissimo, and great facility of execution.",C. Bach,person,(Q106641),country of citizenship,What is the country of citizenship of C. Bach?,Electorate of Saxony; Kingdom of Great Britain
"Thas, also, in Bach we tind sticntifie, artiticially- “construct ed music: in Ui: avdu, Mozart, and Beethoven, grace and, enphouy united to riclmess aul depth af. intelfeet; in’ the modert empty unkling or pedantic tedieustiess.",Bach,person,(Q1339),country of citizenship,What is the country of citizenship of Bach?,Holy Roman Empire; Saxe-Eisenach
"Thas, also, in Bach we tind sticntifie, artiticially- “construct ed music: in Ui: avdu, Mozart, and Beethoven, grace and, enphouy united to riclmess aul depth af. intelfeet; in’ the modert empty unkling or pedantic tedieustiess.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"Thas, also, in Bach we tind sticntifie, artiticially- “construct ed music: in Ui: avdu, Mozart, and Beethoven, grace and, enphouy united to riclmess aul depth af. intelfeet; in’ the modert empty unkling or pedantic tedieustiess.",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"Mdlle. Carrozi, a harpist of great ability, whom Mr. Newman has engaged for his orchestra, played her first harp solo at the Queen’s Hall, on the rst ult., and proved herself to be an interesting player",Mr. Newman,person,(Q7348018),country of citizenship,What is the country of citizenship of Mr. Newman?,
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Mr. Charles Hallé,person,(Q65648),country of citizenship,What is the country of citizenship of Mr. Charles Hallé?,Kingdom of Prussia; United Kingdom of Great Britain and Ireland
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Signorina Barbi,person,(Q3611669),country of citizenship,What is the country of citizenship of Signorina Barbi?,Italy
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Mr. Joseph Maas,person,(Q686719),country of citizenship,What is the country of citizenship of Mr. Joseph Maas?,United Kingdom; United Kingdom of Great Britain and Ireland
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Madame Norman - Néruda,person,(Q78938),country of citizenship,What is the country of citizenship of Madame Norman - Néruda?,Sweden; Austrian Empire
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Mr. Hallé,person,(Q65648),country of citizenship,What is the country of citizenship of Mr. Hallé?,Kingdom of Prussia; United Kingdom of Great Britain and Ireland
"The prospectus announces that this work, translated into Italian, and the principal part sustained by Madame Pauline Lucca, will positively be produced, Mdlle. Gertrude Griswold (who will make her first appearance on the stage in England), being also included in the cast.",Madame Pauline Lucca,person,(Q86422),country of citizenship,What is the country of citizenship of Madame Pauline Lucca?,Kingdom of Prussia; Austrian Empire
"Ar the eleventh Subscription Concert of the Choral Union Series, on the 3rd ult., the chief novelty was the late Friedrich Smetana’s ‘Comedy - Overture,’”’ performed last winter at the Philharmonic Concerts at Berlin and at the Crystal Palace Concerts.",Friedrich Smetana,person,(Q48173),country of citizenship,What is the country of citizenship of Friedrich Smetana?,Austria-Hungary; Austrian Empire
"Hence Mademoiselle Bonini has been probably underprized from the superiority of those supremely great singers, Catalani and Pasta, whom she has directly succeeded at the King’s Theatre, and with whom she is consequently immediately compared.",Mademoiselle Bonini,person,(Q5479435),country of citizenship,What is the country of citizenship of Mademoiselle Bonini?,Kingdom of Italy
"Hence Mademoiselle Bonini has been probably underprized from the superiority of those supremely great singers, Catalani and Pasta, whom she has directly succeeded at the King’s Theatre, and with whom she is consequently immediately compared.",Catalani,person,(Q263405),country of citizenship,What is the country of citizenship of Catalani?,
"Hence Mademoiselle Bonini has been probably underprized from the superiority of those supremely great singers, Catalani and Pasta, whom she has directly succeeded at the King’s Theatre, and with whom she is consequently immediately compared.",Pasta,person,(Q240963),country of citizenship,What is the country of citizenship of Pasta?,Kingdom of Italy; Kingdom of Lombardy–Venetia; Cisalpine Republic; Kingdom of Italy; Italian Republic
"The directors of the famous Gewandhaus Concerts in Leipzig have invited’ FErpinanp Ui1LER, of Cologne, to the post of conductor, vaca: ted by Rietz; but Hiller, probably the- best man ‘in all Germany, unfortunately declines.",FErpinanp Ui1LER,person,(Q213530),country of citizenship,What is the country of citizenship of FErpinanp Ui1LER?,Kingdom of Prussia
"The directors of the famous Gewandhaus Concerts in Leipzig have invited’ FErpinanp Ui1LER, of Cologne, to the post of conductor, vaca: ted by Rietz; but Hiller, probably the- best man ‘in all Germany, unfortunately declines.",Rietz,person,(Q63745),country of citizenship,What is the country of citizenship of Rietz?,Kingdom of Prussia; Kingdom of Saxony
"The directors of the famous Gewandhaus Concerts in Leipzig have invited’ FErpinanp Ui1LER, of Cologne, to the post of conductor, vaca: ted by Rietz; but Hiller, probably the- best man ‘in all Germany, unfortunately declines.",Hiller,person,(Q213530),country of citizenship,What is the country of citizenship of Hiller?,Kingdom of Prussia
"The Keighley Musical Union, on the 3rd ult., had distinction conferred upon it by the presence of Professor Prout, who conducted a creditable performance of his cantata ‘Hereward,” the chorus - singing being decidedly its finest feature.",Professor Prout,person,(Q5331730),country of citizenship,What is the country of citizenship of Professor Prout?,United Kingdom of Great Britain and Ireland
"Mr. ARTHUR SOMERVELL gave a concert of his own compositions, at St. James's Hail, on the 7th ult.. at which he played, with Mr. Leonard Borwick, a set of Variations for two pianofortes on an original theme.",Mr. ARTHUR SOMERVELL,person,(Q4800330),country of citizenship,What is the country of citizenship of Mr. ARTHUR SOMERVELL?,United Kingdom; United Kingdom of Great Britain and Ireland
"Mr. ARTHUR SOMERVELL gave a concert of his own compositions, at St. James's Hail, on the 7th ult.. at which he played, with Mr. Leonard Borwick, a set of Variations for two pianofortes on an original theme.",Mr. Leonard Borwick,person,(Q376085),country of citizenship,What is the country of citizenship of Mr. Leonard Borwick?,United Kingdom of Great Britain and Ireland
"A very worthy local organisation, the Amateur Orchestral Society, under the able direction of Mr. Ralph Horner, is Schumann’s “Advent Hymn.” again in full activity, rehearsing for its Concert to take place this month.",Schumann,person,(Q7351),country of citizenship,What is the country of citizenship of Schumann?,Kingdom of Saxony
"On the evening of Sunday, the 3rd ult., a special Service was held in St. George’s Church, Stuyvesant Square, in commemoration of the twenty - fifth anniversary of Mr. George William Warren as organist of St. Thomas’s Church.",Mr. George William Warren,person,(Q20726537),country of citizenship,What is the country of citizenship of Mr. George William Warren?,United States
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Madame Viardot,person,(Q122998),country of citizenship,What is the country of citizenship of Madame Viardot?,France
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Graun,person,(Q161208),country of citizenship,What is the country of citizenship of Graun?,Germany
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"Mr. Arthur Bent’s orchestra is also announced to give two concerts on December 7, Tchaikovsky’s Serenade for The third concert by the Choral and Philstrings (Op. 48) and Bach’s Concerto for two violins and orchestra being the chief features.",Tchaikovsky,person,(Q7315),country of citizenship,What is the country of citizenship of Tchaikovsky?,Russian Empire
"Mr. Arthur Bent’s orchestra is also announced to give two concerts on December 7, Tchaikovsky’s Serenade for The third concert by the Choral and Philstrings (Op. 48) and Bach’s Concerto for two violins and orchestra being the chief features.",Bach,person,(Q1339),country of citizenship,What is the country of citizenship of Bach?,Holy Roman Empire; Saxe-Eisenach
"At their first concert, under the direction of Dr. Bates, Mark Ilambourg will be the solo pianist, and the Norwich Choral Society will contribute Hugh Blair’s ‘Trafalgar,’ composed expressly for the Nelson centenary.",Mark Ilambourg,person,(Q1900092),country of citizenship,What is the country of citizenship of Mark Ilambourg?,United Kingdom; Soviet Union; Russian Empire
"At their first concert, under the direction of Dr. Bates, Mark Ilambourg will be the solo pianist, and the Norwich Choral Society will contribute Hugh Blair’s ‘Trafalgar,’ composed expressly for the Nelson centenary.",Hugh Blair,person,(Q5930050),country of citizenship,What is the country of citizenship of Hugh Blair?,United Kingdom; United Kingdom of Great Britain and Ireland
"At their first concert, under the direction of Dr. Bates, Mark Ilambourg will be the solo pianist, and the Norwich Choral Society will contribute Hugh Blair’s ‘Trafalgar,’ composed expressly for the Nelson centenary.",Nelson,person,(Q83235),country of citizenship,What is the country of citizenship of Nelson?,United Kingdom of Great Britain and Ireland
"The performance of the work in St. James's Hall, under Myr. Otto Goldschmidt, had many good points, and Mr. Parry found no small part of a friendly audience willing to bestow applause.",Myr . Otto Goldschmidt,person,(Q320046),country of citizenship,What is the country of citizenship of Myr . Otto Goldschmidt?,Hamburg
"The performance of the work in St. James's Hall, under Myr. Otto Goldschmidt, had many good points, and Mr. Parry found no small part of a friendly audience willing to bestow applause.",Mr. Parry,person,(Q6251304),country of citizenship,What is the country of citizenship of Mr. Parry?,United Kingdom of Great Britain and Ireland
"Spagnoletti, the leader, the fine Roman lineaments of whose countenance should have been pourtrayed by a Titian or Vandyke, was the animating spirit of the orchestra.",Titian,person,(Q47551),country of citizenship,What is the country of citizenship of Titian?,Republic of Venice
"Spagnoletti, the leader, the fine Roman lineaments of whose countenance should have been pourtrayed by a Titian or Vandyke, was the animating spirit of the orchestra.",Vandyke,person,(Q150679),country of citizenship,What is the country of citizenship of Vandyke?,Spanish Netherlands
"Galuppi had the art of exciting to the utmust the emulation of his pupils, and produced, ir 1771, three eminent singers, La Rota, Pasqua Rossi, and Ortolani, lected by its present master, staf ef all emulation.",Galuppi,person,(Q208338),country of citizenship,What is the country of citizenship of Galuppi?,Republic of Venice
"The quartets from Rigoletto and Oberon, both excellent specimens of their widely different schools, could hardly have been intrusted to more competent artists than Madame Novello, Miss Dolby, Mr. Sims Reeves, and Mr. Weiss.",Madame Novello,person,(Q4322567),country of citizenship,What is the country of citizenship of Madame Novello?,United Kingdom of Great Britain and Ireland
"The quartets from Rigoletto and Oberon, both excellent specimens of their widely different schools, could hardly have been intrusted to more competent artists than Madame Novello, Miss Dolby, Mr. Sims Reeves, and Mr. Weiss.",Miss Dolby,person,(Q4164386),country of citizenship,What is the country of citizenship of Miss Dolby?,United Kingdom of Great Britain and Ireland
"The quartets from Rigoletto and Oberon, both excellent specimens of their widely different schools, could hardly have been intrusted to more competent artists than Madame Novello, Miss Dolby, Mr. Sims Reeves, and Mr. Weiss.",Mr. Sims Reeves,person,(Q7521239),country of citizenship,What is the country of citizenship of Mr. Sims Reeves?,United Kingdom of Great Britain and Ireland
"The quartets from Rigoletto and Oberon, both excellent specimens of their widely different schools, could hardly have been intrusted to more competent artists than Madame Novello, Miss Dolby, Mr. Sims Reeves, and Mr. Weiss.",Mr. Weiss,person,(Q8022239),country of citizenship,What is the country of citizenship of Mr. Weiss?,United Kingdom of Great Britain and Ireland
"My remarks on the major and minor semitones, in the Harmonicon for October, have produced an answer, in your Number for February, by the Rev. Mr. Liston, the inventor of the Euharmonic Organ.",Rev. Mr. Liston,person,(Q5724966),country of citizenship,What is the country of citizenship of Rev. Mr. Liston?,
