sentence,span,type,uri,relation,question,gold DoB
"Several glees were sung in the course of the evening, and the following songs: — * Mary Morrison,” by Mr. Wilson; “Norma,” by Mr. John Parry; “Remembrance,” by Mr. Ferrari (his own composition), and “I'll be true to thee,” by Mr. Manvers.",Mr. Manvers,person,(NIL),date of birth,What is the date of birth of Mr. Manvers?,
"Spagnoletti, the leader, the fine Roman lineaments of whose countenance should have been pourtrayed by a Titian or Vandyke, was the animating spirit of the orchestra.",Spagnoletti,person,(NIL),date of birth,What is the date of birth of Spagnoletti?,
"Galuppi had the art of exciting to the utmust the emulation of his pupils, and produced, ir 1771, three eminent singers, La Rota, Pasqua Rossi, and Ortolani, lected by its present master, staf ef all emulation.",La Rota,person,(NIL),date of birth,What is the date of birth of La Rota?,
"Galuppi had the art of exciting to the utmust the emulation of his pupils, and produced, ir 1771, three eminent singers, La Rota, Pasqua Rossi, and Ortolani, lected by its present master, staf ef all emulation.",Pasqua Rossi,person,(NIL),date of birth,What is the date of birth of Pasqua Rossi?,
"Galuppi had the art of exciting to the utmust the emulation of his pupils, and produced, ir 1771, three eminent singers, La Rota, Pasqua Rossi, and Ortolani, lected by its present master, staf ef all emulation.",Ortolani,person,(NIL),date of birth,What is the date of birth of Ortolani?,
"We had a lovely Quartet, in G, by Mozart, and Beethoven's Quintet in C, for stringed, instruments, In which Mr. Burxe played the first ‘violin, with his usual sweetness.",Mr. Burxe,person,(NIL),date of birth,What is the date of birth of Mr. Burxe?,
"another equally good Concert was given by the Gateshead Choral Society, in the Town Hall, Newcastle, on the 17th ult., when Handel's ‘Israel in Egypt”? was performed, under the direction of Mr. J. M. Preston.",Mr. J. M. Preston,person,(NIL),date of birth,What is the date of birth of Mr. J. M. Preston?,
"On the 5th ult. the Albert Hall was again crowded to excess on the occasion of Mr. Fould’s miscellaneous Concert, when Madame Albani, Miss Clara Butt, Mr. Norman Salmond, M. Johannes Wolff, M. Hollman, and ‘M. Raoul Pugno appeared.",Mr. Fould,person,(NIL),date of birth,What is the date of birth of Mr. Fould?,
"At the New Jerusalem Church, Camden Road, a performance of Mendelssohn’s ‘Athalie’ was given by the choir, in aid of the Church funds, on the 2rst ult., under the direction of Mr. Wilfrid Davies.",Mr. Wilfrid Davies,person,(NIL),date of birth,What is the date of birth of Mr. Wilfrid Davies?,
"Dr. Mainzer made an enthusiastic speech in favour of the art and its refining tendencies, and pointed out the advantages which must arise from having a school for the special instruction of those who had to teach again; at the conclusion of which the following resolution, proposed by Mr. Thomas Clegg, churchwarden of Manchester, and seconded by George Bagshaw, Esq., ‘was carried unanimously: — That this meeting has heard with great satisfaction the exposition given by Dr. Mainzer of the plan and objeets of the normal school now opened for teachers and operatives, and pledges itself to use its best efforts to obtain that countenance and support whieh will ensure the perfect success of the projector, which, in the opinion of this meeting, is calculated to provide the means of refined and NORMAL MUSIC SCHOOL OF MANCHESTER social enjoyment to all, but especially to the working classes of this borough” Subscriptions towards the object were entered into, amounting to £ 110, before the close of the meeting.",Dr. Mainzer,person,(NIL),date of birth,What is the date of birth of Dr. Mainzer?,
"Dr. Mainzer made an enthusiastic speech in favour of the art and its refining tendencies, and pointed out the advantages which must arise from having a school for the special instruction of those who had to teach again; at the conclusion of which the following resolution, proposed by Mr. Thomas Clegg, churchwarden of Manchester, and seconded by George Bagshaw, Esq., ‘was carried unanimously: — That this meeting has heard with great satisfaction the exposition given by Dr. Mainzer of the plan and objeets of the normal school now opened for teachers and operatives, and pledges itself to use its best efforts to obtain that countenance and support whieh will ensure the perfect success of the projector, which, in the opinion of this meeting, is calculated to provide the means of refined and NORMAL MUSIC SCHOOL OF MANCHESTER social enjoyment to all, but especially to the working classes of this borough” Subscriptions towards the object were entered into, amounting to £ 110, before the close of the meeting.",Mr. Thomas Clegg,person,(NIL),date of birth,What is the date of birth of Mr. Thomas Clegg?,
"Dr. Mainzer made an enthusiastic speech in favour of the art and its refining tendencies, and pointed out the advantages which must arise from having a school for the special instruction of those who had to teach again; at the conclusion of which the following resolution, proposed by Mr. Thomas Clegg, churchwarden of Manchester, and seconded by George Bagshaw, Esq., ‘was carried unanimously: — That this meeting has heard with great satisfaction the exposition given by Dr. Mainzer of the plan and objeets of the normal school now opened for teachers and operatives, and pledges itself to use its best efforts to obtain that countenance and support whieh will ensure the perfect success of the projector, which, in the opinion of this meeting, is calculated to provide the means of refined and NORMAL MUSIC SCHOOL OF MANCHESTER social enjoyment to all, but especially to the working classes of this borough” Subscriptions towards the object were entered into, amounting to £ 110, before the close of the meeting.","George Bagshaw , Esq .",person,(NIL),date of birth,"What is the date of birth of George Bagshaw , Esq .?",
"Dr. Mainzer made an enthusiastic speech in favour of the art and its refining tendencies, and pointed out the advantages which must arise from having a school for the special instruction of those who had to teach again; at the conclusion of which the following resolution, proposed by Mr. Thomas Clegg, churchwarden of Manchester, and seconded by George Bagshaw, Esq., ‘was carried unanimously: — That this meeting has heard with great satisfaction the exposition given by Dr. Mainzer of the plan and objeets of the normal school now opened for teachers and operatives, and pledges itself to use its best efforts to obtain that countenance and support whieh will ensure the perfect success of the projector, which, in the opinion of this meeting, is calculated to provide the means of refined and NORMAL MUSIC SCHOOL OF MANCHESTER social enjoyment to all, but especially to the working classes of this borough” Subscriptions towards the object were entered into, amounting to £ 110, before the close of the meeting.",Dr. Mainzer,person,(NIL),date of birth,What is the date of birth of Dr. Mainzer?,
"Sommer, organist to the Court of Vienna; this is the greatest compliment which can be paid to his talents.",Sommer,person,(NIL),date of birth,What is the date of birth of Sommer?,
"The concerted works were Beethoven’s third Rasoumowski Quartet in C, Op. 59, and Schumann’s Phantasiestiicke for piano, violin, and violoncello, Op. 88, a series of four movements originally designed as a trio, but afterwards re - named, perhaps on account of their sketchiness, and the absence of regular development, Herr Joachim gave Bach’s Chaconne, his grand rendering of which is too well known to need description, Miss Agnes Zimmermann played Schubert’s Impromptu in C minor, Op. go, and a selection of the Valses Nobles, Op. 77, and Miss Thudichum contributed songs by Purcell and Cowen.",Herr Joachim,person,(NIL),date of birth,What is the date of birth of Herr Joachim?,
"The concerted works were Beethoven’s third Rasoumowski Quartet in C, Op. 59, and Schumann’s Phantasiestiicke for piano, violin, and violoncello, Op. 88, a series of four movements originally designed as a trio, but afterwards re - named, perhaps on account of their sketchiness, and the absence of regular development, Herr Joachim gave Bach’s Chaconne, his grand rendering of which is too well known to need description, Miss Agnes Zimmermann played Schubert’s Impromptu in C minor, Op. go, and a selection of the Valses Nobles, Op. 77, and Miss Thudichum contributed songs by Purcell and Cowen.",Miss Thudichum,person,(NIL),date of birth,What is the date of birth of Miss Thudichum?,
"The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini.",Mademoiselle Bonini,person,(NIL),date of birth,What is the date of birth of Mademoiselle Bonini?,
"Translated by John Bishop, and dedicated to the Author's friend, Professor Taylor.",John Bishop,person,(NIL),date of birth,What is the date of birth of John Bishop?,
"Translated by John Bishop, and dedicated to the Author's friend, Professor Taylor.",Professor Taylor,person,(NIL),date of birth,What is the date of birth of Professor Taylor?,
"Tam waiting for the arrival at Hamburg ‘of her dear mortal remains, inorder. to go there ‘andl ‘Jast resting place in the Convent of Maria Jhal, near Dresden, where her ‘sistér is a nun, and where, in gonseqnéence, the holy prayers of those who loved her most will not be wanting, I am ‘having a small chapel built there, with two tombs, turn to.my faniily 2 shall meet you, no. doubt, in the spring, ebut will not promise vou that the pleasure of secing you ‘will be exempt from all sadnes impossible for me to separate vour - presence from the remembrance of my dear Henriette: the idea of being ‘able to’ talk of the angel whom 1. have lost with these, wha feel as: yen ‘do. has, however, its consolation.",Tam,person,(NIL),date of birth,What is the date of birth of Tam?,
"Tam waiting for the arrival at Hamburg ‘of her dear mortal remains, inorder. to go there ‘andl ‘Jast resting place in the Convent of Maria Jhal, near Dresden, where her ‘sistér is a nun, and where, in gonseqnéence, the holy prayers of those who loved her most will not be wanting, I am ‘having a small chapel built there, with two tombs, turn to.my faniily 2 shall meet you, no. doubt, in the spring, ebut will not promise vou that the pleasure of secing you ‘will be exempt from all sadnes impossible for me to separate vour - presence from the remembrance of my dear Henriette: the idea of being ‘able to’ talk of the angel whom 1. have lost with these, wha feel as: yen ‘do. has, however, its consolation.",Henriette,person,(NIL),date of birth,What is the date of birth of Henriette?,
