sentence,span,type,uri,relation,question,gold occupation
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Beethoven,person,(Q255),occupation,What is the occupation of Beethoven?,composer
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Weber,person,(Q154812),occupation,What is the occupation of Weber?,composer; conductor; pianist; guitarist; music critic; classical guitarist
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Spohr,person,(Q57226),occupation,What is the occupation of Spohr?,composer; conductor; musician; violinist; musicologist; music educator
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Weigl,person,(Q78798),occupation,What is the occupation of Weigl?,composer; conductor
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Meyerbeer,person,(Q105237),occupation,What is the occupation of Meyerbeer?,composer; conductor; music director; autobiographer
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Lortzing,person,(Q154203),occupation,What is the occupation of Lortzing?,actor; writer; composer; conductor; singer; stage actor; opera singer; librettist
"When Paganini returned from France and England, he was called upon frequently by the young artist, to hear him play and ask his advice; and although at this time the great violinist was grievously indisposed, he neither withheld his playing nor refused his assistance to his young friend. M. Dellepiane, who was first violin at the Theatre Carlo Felice at Genoa, and master of the Conservatoire of the same city, was taken ill;",Paganini,person,(Q66075),occupation,What is the occupation of Paganini?,composer; guitarist; violist; violinist; classical composer; violin virtuos
"It contains, in 519 neatly printed pages, everything Mendelssohn has written for the pianoforte, from the Capriccio in F sharp minor, Op. 5, composed in 1825, at the age of 16, to his latest works, including several published after his death.",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"The talents of Pepusch as a composer were not likely to prove a source of wealth to him; his music was correct, but it wanted variety; besides which, Handel was in possession of the public ear, and the whole kingdom were forming their taste for harmony and melody, by the standard of his compositions.",Pepusch,person,(Q371825),occupation,What is the occupation of Pepusch?,composer; musicologist; music theorist
"The talents of Pepusch as a composer were not likely to prove a source of wealth to him; his music was correct, but it wanted variety; besides which, Handel was in possession of the public ear, and the whole kingdom were forming their taste for harmony and melody, by the standard of his compositions.",Handel,person,(Q7302),occupation,What is the occupation of Handel?,composer; organist; impresario; violinist; university teacher; harpsichordist; opera composer
"The subject of Camacho is so admirably adapted for an opera, that Iam surprised it has never been thought of before; — it unites the romantic and the comic, so as to afford room for grea variety of musical expression and effect; and of this advantage Mr. Mendelssohn has fully availed himself.",Mr. Mendelssohn,person,(Q46096),occupation,What is the occupation of Mr. Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Mr. DRESELr,person,(Q96415095),occupation,What is the occupation of Mr. DRESELr?,
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Ferdi- : nand Hiller,person,(Q213530),occupation,What is the occupation of Ferdi- : nand Hiller?,composer; conductor; pianist; university teacher; critic
"Mr. DRESELr was greeted with a spontaneous ani fervent welcome, when he took his seat at the piano, and his exquisitely expressive rendering of the two Songs without Words by Mendelssohn (the “Duet” and “Spring Song”), the striking Etude by Ferdi-: nand Hiller, the Adagio from a Concerto and the Etude by Chopin, held the andience in hushed delight; indeed we know of more than one adverse prejudice that owned itself melted away by that performance.",Chopin,person,(Q1268),occupation,What is the occupation of Chopin?,composer; virtuoso; pianist; musician; pedagogue; music educator
"On the 28th of December, Madame Fodor appeared, for the first time, in the Barbiere di Siviglia; and the applause of a house crowded in every part testified the delight caused by her performance.",Madame Fodor,person,(Q1002317),occupation,What is the occupation of Madame Fodor?,opera singer
We have undoubted proof that it would be impossibte for any person to approach a subject in a more deeply religious frame of mind than did Haydn when he commenced the composition of the Creation.,Haydn,person,(Q7349),occupation,What is the occupation of Haydn?,composer; conductor; pianist; musicologist
"The compositions for the former are generally firnished from Parts - and London; for the latter, choice is made of Momrt, Pleyel, Steibeit, and other easy masters.",Pleyel,person,(Q314019),occupation,What is the occupation of Pleyel?,composer; music publisher; pianist; piano maker
"The compositions for the former are generally firnished from Parts - and London; for the latter, choice is made of Momrt, Pleyel, Steibeit, and other easy masters.",Steibeit,person,(Q657464),occupation,What is the occupation of Steibeit?,composer; pianist
"The works selected by the Philharmonic. Society for the forthcoming season include Handel’s “Acis and Galatea,” Villiers Stanford’s fine choral ballad ‘The Revenge,” and Schubert’s cantata' ‘The Song of Miriam.”",Handel,person,(Q7302),occupation,What is the occupation of Handel?,composer; organist; impresario; violinist; university teacher; harpsichordist; opera composer
"The works selected by the Philharmonic. Society for the forthcoming season include Handel’s “Acis and Galatea,” Villiers Stanford’s fine choral ballad ‘The Revenge,” and Schubert’s cantata' ‘The Song of Miriam.”",Villiers Stanford,person,(Q368264),occupation,What is the occupation of Villiers Stanford?,composer; university teacher; music educator; classical composer
"The works selected by the Philharmonic. Society for the forthcoming season include Handel’s “Acis and Galatea,” Villiers Stanford’s fine choral ballad ‘The Revenge,” and Schubert’s cantata' ‘The Song of Miriam.”",Schubert,person,(Q7312),occupation,What is the occupation of Schubert?,composer; teacher; pianist
"‘Military Band Organisation’ read before the Royal United Service Institution, on March 25, 1892, -by Colonel T. B. Shaw - Hellier, a former Commandant of Kneller Hall, who is well known in the army for his musical abilities, andwho, during his six years’ tenure of office at Kneller Hall, did a great deal to improve the Institution.",Colonel T. B. Shaw - Hellier,person,(Q98098664),occupation,What is the occupation of Colonel T. B. Shaw - Hellier?,
"On his way to. Germany, through Holland, Vieuxtemps stopped at the Hague, which coming to the knowledge of His Majesty the King of Holland, that illustrious personage immediately sent for the eminent violinist, received him most graciously, and expressed his desire to hear the Concerto which Vieuxtemps has dedicated to him",Vieuxtemps,person,(Q312790),occupation,What is the occupation of Vieuxtemps?,composer; violinist; university teacher; music educator
"On his way to. Germany, through Holland, Vieuxtemps stopped at the Hague, which coming to the knowledge of His Majesty the King of Holland, that illustrious personage immediately sent for the eminent violinist, received him most graciously, and expressed his desire to hear the Concerto which Vieuxtemps has dedicated to him",His Majesty the King of,person,(Q154287),occupation,What is the occupation of His Majesty the King of?,judge; military personnel; politician; art collector
"On his way to. Germany, through Holland, Vieuxtemps stopped at the Hague, which coming to the knowledge of His Majesty the King of Holland, that illustrious personage immediately sent for the eminent violinist, received him most graciously, and expressed his desire to hear the Concerto which Vieuxtemps has dedicated to him",Vieuxtemps,person,(Q312790),occupation,What is the occupation of Vieuxtemps?,composer; violinist; university teacher; music educator
"While the symphonies of Mozart and Haydn were here given in full force, the Masses were on occasions performed with instruments both at the Portuguese and Moorfields chapels.",Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"While the symphonies of Mozart and Haydn were here given in full force, the Masses were on occasions performed with instruments both at the Portuguese and Moorfields chapels.",Haydn,person,(Q7349),occupation,What is the occupation of Haydn?,composer; conductor; pianist; musicologist
"On St. Cecilia’s Day, 1695, the Plan of a Grand Concert of Music — at which some of the works of the forgotten Italian composer, Giovanni Battista Bassani (16571716), said to be the master of Corelli, were presented",St. Cecilia,person,(Q80513),occupation,What is the occupation of St. Cecilia?,musician
"On St. Cecilia’s Day, 1695, the Plan of a Grand Concert of Music — at which some of the works of the forgotten Italian composer, Giovanni Battista Bassani (16571716), said to be the master of Corelli, were presented",Giovanni Battista Bassani,person,(Q465565),occupation,What is the occupation of Giovanni Battista Bassani?,composer; church musician; organist; violinist; opera composer
"On St. Cecilia’s Day, 1695, the Plan of a Grand Concert of Music — at which some of the works of the forgotten Italian composer, Giovanni Battista Bassani (16571716), said to be the master of Corelli, were presented",Corelli,person,(Q164475),occupation,What is the occupation of Corelli?,composer; violist; violinist
"The Scottish Orchestra has again been engaged, under its fourth conductor, Mr. Frederic H. Cowen; and the Edinburgh Choral Union, Mr. Kirkhope’s and Mr. Moonie’s choirs (the latter for the first time) will take part in the scheme.",Mr. Frederic H. Cowen,person,(Q1452734),occupation,What is the occupation of Mr. Frederic H. Cowen?,composer; conductor; pianist
"The favourite airs in Rossini’s Opera of La Gazza LapRa, erranged for the Piano - Forte, with an Accompaniment for the Flute. by T. Latour, Pianiste ‘to His Majesty.",Rossini,person,(Q9726),occupation,What is the occupation of Rossini?,composer
"The favourite airs in Rossini’s Opera of La Gazza LapRa, erranged for the Piano - Forte, with an Accompaniment for the Flute. by T. Latour, Pianiste ‘to His Majesty.",T. Latour,person,(Q6171596),occupation,What is the occupation of T. Latour?,composer; pianist; pedagogue
"The favourite airs in Rossini’s Opera of La Gazza LapRa, erranged for the Piano - Forte, with an Accompaniment for the Flute. by T. Latour, Pianiste ‘to His Majesty.",His Majesty,person,(Q130586),occupation,What is the occupation of His Majesty?,politician; ruler; art collector; patron of the arts
"The Rev. Wiliam Gostling, Minor Canon of Canterbury Cathedral, was the son of that Mr. Gostling, Sub - Dean of St. Paul’s, for whom Purcell wrote his celebrated anthem,",Rev. Wiliam Gostling,person,(Q15994466),occupation,What is the occupation of Rev. Wiliam Gostling?,poet
"The Rev. Wiliam Gostling, Minor Canon of Canterbury Cathedral, was the son of that Mr. Gostling, Sub - Dean of St. Paul’s, for whom Purcell wrote his celebrated anthem,",Mr. Gostling,person,(Q3181623),occupation,What is the occupation of Mr. Gostling?,opera singer
"The Rev. Wiliam Gostling, Minor Canon of Canterbury Cathedral, was the son of that Mr. Gostling, Sub - Dean of St. Paul’s, for whom Purcell wrote his celebrated anthem,",Purcell,person,(Q9695),occupation,What is the occupation of Purcell?,composer; author; organist; musicologist; music theorist
"Madame Vestris is also a reigning favourite, which, strange to say, she becomes by lowering her original Italian ‘style to the light but coarse ballads of the Kuglish comic opera “Cherry ripe’ for example.",Madame Vestris,person,(Q6696635),occupation,What is the occupation of Madame Vestris?,actor; talent manager; opera singer
"The Lamoureux Concert of November 24 proved to be particularly interesting, including as it did the first performance of the “Chansons de Miarka’” of M. Alexandre Georges, set to the poetry of M. Richepin",M. Alexandre Georges,person,(Q2833698),occupation,What is the occupation of M. Alexandre Georges?,composer; organist
"The Lamoureux Concert of November 24 proved to be particularly interesting, including as it did the first performance of the “Chansons de Miarka’” of M. Alexandre Georges, set to the poetry of M. Richepin",M. Richepin,person,(Q551744),occupation,What is the occupation of M. Richepin?,writer; poet; politician; playwright; novelist; librettist; prose writer
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Cowen,person,(Q1452734),occupation,What is the occupation of Cowen?,composer; conductor; pianist
"he programme contained Mendelssohn’s ‘Hear my Prayer,” the solo part of which was effectively sung by Madame San Carolo; Cowen’s ‘Bridal Chorus, ’’ Stewart’s ‘Bells of St. Michael’s Tower,” and Pinsuti’s ‘Good - night, beloved.”",Stewart,person,(Q4444837),occupation,What is the occupation of Stewart?,composer; conductor; choir director
"Some short passages interspersed in Fidelio, will remind the hearers of modulations and effects in Mozart’s Figaro and his Don Giovanni.",Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",Mr. Cowen,person,(Q1452734),occupation,What is the occupation of Mr. Cowen?,composer; conductor; pianist
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",Herr Bruch,person,(Q106434),occupation,What is the occupation of Herr Bruch?,composer; teacher; conductor
"Mr. Cowen will be assisted, when occasion requires, by M. Sons, the capable leader, who acted as conductor last year during Herr Bruch’s temporary indisposition, and Herr Moszkowski will. officiate at the first concert.",Herr Moszkowski,person,(Q322427),occupation,What is the occupation of Herr Moszkowski?,composer; conductor; pianist; musicologist
"The fine Organ made by Mr. Schrieder, which was setup in Westminster Abbey, and used on the Day of the Coronation, has been presented to the said Abbey by his. Majesty.",his . Majesty,person,(Q20875),occupation,What is the occupation of his . Majesty?,monarch; politician; aristocrat; art collector
"When Meyerbeer was last in England (in 1832), he came to preside over the rehearsals of his Robert le Diable, on the occasion of that celebrated opera being produced, by Mr. Monck Mason, at Her Majesty’s Theatre.",Meyerbeer,person,(Q105237),occupation,What is the occupation of Meyerbeer?,composer; conductor; music director; autobiographer
"For the commencement of it the author is indebted to the Pastoral Symphony of Beethoven, and the first subject of the last movement is very like a popular melody of Mozart.",Beethoven,person,(Q255),occupation,What is the occupation of Beethoven?,composer
"For the commencement of it the author is indebted to the Pastoral Symphony of Beethoven, and the first subject of the last movement is very like a popular melody of Mozart.",Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Miss Stephens,person,(Q5052928),occupation,What is the occupation of Miss Stephens?,actor; opera singer
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Dr. Crotch,person,(Q718709),occupation,What is the occupation of Dr. Crotch?,composer; organist; painter; music educator
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Miss Paton,person,(Q16888398),occupation,What is the occupation of Miss Paton?,singer; vocalist; opera singer
"While Miss Stephens was reported sick in the Drury - Lane bills, she was singing at Dr. Crotch’s Palestine — and while an apology was made for Miss Paton at Dr. Crotch’s, she played at Drury - Lane.",Dr. Crotch,person,(Q718709),occupation,What is the occupation of Dr. Crotch?,composer; organist; painter; music educator
"The names of Grisi, Persiani, and other celebrities who had made - their English: reputation before Mr. Lumley caine info the managemeut, will, of course, occur to all readers, who will also remember in how many brilliant particular school it’ professed to ilus-.",Grisi,person,(Q287812),occupation,What is the occupation of Grisi?,ballet dancer; choreographer; opera singer
"The names of Grisi, Persiani, and other celebrities who had made - their English: reputation before Mr. Lumley caine info the managemeut, will, of course, occur to all readers, who will also remember in how many brilliant particular school it’ professed to ilus-.",Persiani,person,(Q2280304),occupation,What is the occupation of Persiani?,composer
"The names of Grisi, Persiani, and other celebrities who had made - their English: reputation before Mr. Lumley caine info the managemeut, will, of course, occur to all readers, who will also remember in how many brilliant particular school it’ professed to ilus-.",Mr. Lumley,person,(Q2896159),occupation,What is the occupation of Mr. Lumley?,solicitor; impresario; opera director; Theaterintendant
"The songs composed for Mrs. Weichsel, many of which were written by C. Bach, show that she had a voice of unusual height, reaching to the in altissimo, and great facility of execution.",Mrs. Weichsel,person,(Q5362421),occupation,What is the occupation of Mrs. Weichsel?,composer; opera singer
"The songs composed for Mrs. Weichsel, many of which were written by C. Bach, show that she had a voice of unusual height, reaching to the in altissimo, and great facility of execution.",C. Bach,person,(Q106641),occupation,What is the occupation of C. Bach?,composer; pianist; music arranger
"Thas, also, in Bach we tind sticntifie, artiticially- “construct ed music: in Ui: avdu, Mozart, and Beethoven, grace and, enphouy united to riclmess aul depth af. intelfeet; in’ the modert empty unkling or pedantic tedieustiess.",Bach,person,(Q1339),occupation,What is the occupation of Bach?,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator
"Thas, also, in Bach we tind sticntifie, artiticially- “construct ed music: in Ui: avdu, Mozart, and Beethoven, grace and, enphouy united to riclmess aul depth af. intelfeet; in’ the modert empty unkling or pedantic tedieustiess.",Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"Thas, also, in Bach we tind sticntifie, artiticially- “construct ed music: in Ui: avdu, Mozart, and Beethoven, grace and, enphouy united to riclmess aul depth af. intelfeet; in’ the modert empty unkling or pedantic tedieustiess.",Beethoven,person,(Q255),occupation,What is the occupation of Beethoven?,composer
"Mdlle. Carrozi, a harpist of great ability, whom Mr. Newman has engaged for his orchestra, played her first harp solo at the Queen’s Hall, on the rst ult., and proved herself to be an interesting player",Mr. Newman,person,(Q7348018),occupation,What is the occupation of Mr. Newman?,impresario
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Mr. Charles Hallé,person,(Q65648),occupation,What is the occupation of Mr. Charles Hallé?,composer; conductor; pianist; pedagogue
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Signorina Barbi,person,(Q3611669),occupation,What is the occupation of Signorina Barbi?,writer; composer; singer; violinist; opera singer; mezzo-soprano
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Mr. Joseph Maas,person,(Q686719),occupation,What is the occupation of Mr. Joseph Maas?,opera singer
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Madame Norman - Néruda,person,(Q78938),occupation,What is the occupation of Madame Norman - Néruda?,violinist
"As usual, Mr. Charles Hallé’s Manchester Orchestra was engaged, and the vocal and instrumental soloists were Signorina Barbi, Mr. Joseph Maas, Madame Norman - Néruda, and Mr. Hallé.",Mr. Hallé,person,(Q65648),occupation,What is the occupation of Mr. Hallé?,composer; conductor; pianist; pedagogue
"The prospectus announces that this work, translated into Italian, and the principal part sustained by Madame Pauline Lucca, will positively be produced, Mdlle. Gertrude Griswold (who will make her first appearance on the stage in England), being also included in the cast.",Madame Pauline Lucca,person,(Q86422),occupation,What is the occupation of Madame Pauline Lucca?,opera singer
"Ar the eleventh Subscription Concert of the Choral Union Series, on the 3rd ult., the chief novelty was the late Friedrich Smetana’s ‘Comedy - Overture,’”’ performed last winter at the Philharmonic Concerts at Berlin and at the Crystal Palace Concerts.",Friedrich Smetana,person,(Q48173),occupation,What is the occupation of Friedrich Smetana?,composer; teacher; conductor; pianist; musician; pedagogue; music educator
"Hence Mademoiselle Bonini has been probably underprized from the superiority of those supremely great singers, Catalani and Pasta, whom she has directly succeeded at the King’s Theatre, and with whom she is consequently immediately compared.",Mademoiselle Bonini,person,(Q5479435),occupation,What is the occupation of Mademoiselle Bonini?,opera singer
"Hence Mademoiselle Bonini has been probably underprized from the superiority of those supremely great singers, Catalani and Pasta, whom she has directly succeeded at the King’s Theatre, and with whom she is consequently immediately compared.",Catalani,person,(Q263405),occupation,What is the occupation of Catalani?,opera singer
"Hence Mademoiselle Bonini has been probably underprized from the superiority of those supremely great singers, Catalani and Pasta, whom she has directly succeeded at the King’s Theatre, and with whom she is consequently immediately compared.",Pasta,person,(Q240963),occupation,What is the occupation of Pasta?,opera singer
"The directors of the famous Gewandhaus Concerts in Leipzig have invited’ FErpinanp Ui1LER, of Cologne, to the post of conductor, vaca: ted by Rietz; but Hiller, probably the- best man ‘in all Germany, unfortunately declines.",FErpinanp Ui1LER,person,(Q213530),occupation,What is the occupation of FErpinanp Ui1LER?,composer; conductor; pianist; university teacher; critic
"The directors of the famous Gewandhaus Concerts in Leipzig have invited’ FErpinanp Ui1LER, of Cologne, to the post of conductor, vaca: ted by Rietz; but Hiller, probably the- best man ‘in all Germany, unfortunately declines.",Rietz,person,(Q63745),occupation,What is the occupation of Rietz?,composer; conductor; university teacher; cellist
"The directors of the famous Gewandhaus Concerts in Leipzig have invited’ FErpinanp Ui1LER, of Cologne, to the post of conductor, vaca: ted by Rietz; but Hiller, probably the- best man ‘in all Germany, unfortunately declines.",Hiller,person,(Q213530),occupation,What is the occupation of Hiller?,composer; conductor; pianist; university teacher; critic
"The Keighley Musical Union, on the 3rd ult., had distinction conferred upon it by the presence of Professor Prout, who conducted a creditable performance of his cantata ‘Hereward,” the chorus - singing being decidedly its finest feature.",Professor Prout,person,(Q5331730),occupation,What is the occupation of Professor Prout?,writer; composer; music critic; musicologist; music theorist; music educator
"Mr. ARTHUR SOMERVELL gave a concert of his own compositions, at St. James's Hail, on the 7th ult.. at which he played, with Mr. Leonard Borwick, a set of Variations for two pianofortes on an original theme.",Mr. ARTHUR SOMERVELL,person,(Q4800330),occupation,What is the occupation of Mr. ARTHUR SOMERVELL?,composer; music educator
"Mr. ARTHUR SOMERVELL gave a concert of his own compositions, at St. James's Hail, on the 7th ult.. at which he played, with Mr. Leonard Borwick, a set of Variations for two pianofortes on an original theme.",Mr. Leonard Borwick,person,(Q376085),occupation,What is the occupation of Mr. Leonard Borwick?,pianist
"A very worthy local organisation, the Amateur Orchestral Society, under the able direction of Mr. Ralph Horner, is Schumann’s “Advent Hymn.” again in full activity, rehearsing for its Concert to take place this month.",Schumann,person,(Q7351),occupation,What is the occupation of Schumann?,writer; composer; conductor; pianist; music critic; musicologist; music educator
"On the evening of Sunday, the 3rd ult., a special Service was held in St. George’s Church, Stuyvesant Square, in commemoration of the twenty - fifth anniversary of Mr. George William Warren as organist of St. Thomas’s Church.",Mr. George William Warren,person,(Q20726537),occupation,What is the occupation of Mr. George William Warren?,composer; organist
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Madame Viardot,person,(Q122998),occupation,What is the occupation of Madame Viardot?,composer; pianist; opera vocal coach; opera singer
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Graun,person,(Q161208),occupation,What is the occupation of Graun?,composer; opera singer
"Madame Viardot, too, must be noticed for the extraordinary fluency and fire she displayed in the unheard - of bravura from Graun’s Britannieus, and Herr Reichardt for his graceful and finished singing in Mozart’s “Dalla sua pace.”",Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"Mr. Arthur Bent’s orchestra is also announced to give two concerts on December 7, Tchaikovsky’s Serenade for The third concert by the Choral and Philstrings (Op. 48) and Bach’s Concerto for two violins and orchestra being the chief features.",Tchaikovsky,person,(Q7315),occupation,What is the occupation of Tchaikovsky?,composer; conductor; translator; pianist; music critic; university teacher; choreographer; librettist; music educator; autobiographer; diarist
"Mr. Arthur Bent’s orchestra is also announced to give two concerts on December 7, Tchaikovsky’s Serenade for The third concert by the Choral and Philstrings (Op. 48) and Bach’s Concerto for two violins and orchestra being the chief features.",Bach,person,(Q1339),occupation,What is the occupation of Bach?,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator
"At their first concert, under the direction of Dr. Bates, Mark Ilambourg will be the solo pianist, and the Norwich Choral Society will contribute Hugh Blair’s ‘Trafalgar,’ composed expressly for the Nelson centenary.",Mark Ilambourg,person,(Q1900092),occupation,What is the occupation of Mark Ilambourg?,composer; pianist
