sentence,span,type,uri,relation,question
"Dr. Mainzer made an enthusiastic speech in favour of the art and its refining tendencies, and pointed out the advantages which must arise from having a school for the special instruction of those who had to teach again; at the conclusion of which the following resolution, proposed by Mr. Thomas Clegg, churchwarden of Manchester, and seconded by George Bagshaw, Esq., ‘was carried unanimously: — That this meeting has heard with great satisfaction the exposition given by Dr. Mainzer of the plan and objeets of the normal school now opened for teachers and operatives, and pledges itself to use its best efforts to obtain that countenance and support whieh will ensure the perfect success of the projector, which, in the opinion of this meeting, is calculated to provide the means of refined and NORMAL MUSIC SCHOOL OF MANCHESTER social enjoyment to all, but especially to the working classes of this borough” Subscriptions towards the object were entered into, amounting to £ 110, before the close of the meeting.",Dr. Mainzer,person,(NIL),occupation,What is the occupation of Dr. Mainzer?
"Dr. Mainzer made an enthusiastic speech in favour of the art and its refining tendencies, and pointed out the advantages which must arise from having a school for the special instruction of those who had to teach again; at the conclusion of which the following resolution, proposed by Mr. Thomas Clegg, churchwarden of Manchester, and seconded by George Bagshaw, Esq., ‘was carried unanimously: — That this meeting has heard with great satisfaction the exposition given by Dr. Mainzer of the plan and objeets of the normal school now opened for teachers and operatives, and pledges itself to use its best efforts to obtain that countenance and support whieh will ensure the perfect success of the projector, which, in the opinion of this meeting, is calculated to provide the means of refined and NORMAL MUSIC SCHOOL OF MANCHESTER social enjoyment to all, but especially to the working classes of this borough” Subscriptions towards the object were entered into, amounting to £ 110, before the close of the meeting.",Mr. Thomas Clegg,person,(NIL),occupation,What is the occupation of Mr. Thomas Clegg?
"Dr. Mainzer made an enthusiastic speech in favour of the art and its refining tendencies, and pointed out the advantages which must arise from having a school for the special instruction of those who had to teach again; at the conclusion of which the following resolution, proposed by Mr. Thomas Clegg, churchwarden of Manchester, and seconded by George Bagshaw, Esq., ‘was carried unanimously: — That this meeting has heard with great satisfaction the exposition given by Dr. Mainzer of the plan and objeets of the normal school now opened for teachers and operatives, and pledges itself to use its best efforts to obtain that countenance and support whieh will ensure the perfect success of the projector, which, in the opinion of this meeting, is calculated to provide the means of refined and NORMAL MUSIC SCHOOL OF MANCHESTER social enjoyment to all, but especially to the working classes of this borough” Subscriptions towards the object were entered into, amounting to £ 110, before the close of the meeting.","George Bagshaw , Esq .",person,(NIL),occupation,"What is the occupation of George Bagshaw , Esq .?"
"Dr. Mainzer made an enthusiastic speech in favour of the art and its refining tendencies, and pointed out the advantages which must arise from having a school for the special instruction of those who had to teach again; at the conclusion of which the following resolution, proposed by Mr. Thomas Clegg, churchwarden of Manchester, and seconded by George Bagshaw, Esq., ‘was carried unanimously: — That this meeting has heard with great satisfaction the exposition given by Dr. Mainzer of the plan and objeets of the normal school now opened for teachers and operatives, and pledges itself to use its best efforts to obtain that countenance and support whieh will ensure the perfect success of the projector, which, in the opinion of this meeting, is calculated to provide the means of refined and NORMAL MUSIC SCHOOL OF MANCHESTER social enjoyment to all, but especially to the working classes of this borough” Subscriptions towards the object were entered into, amounting to £ 110, before the close of the meeting.",Dr. Mainzer,person,(NIL),occupation,What is the occupation of Dr. Mainzer?
"Sommer, organist to the Court of Vienna; this is the greatest compliment which can be paid to his talents.",Sommer,person,(NIL),occupation,What is the occupation of Sommer?
"The concerted works were Beethoven’s third Rasoumowski Quartet in C, Op. 59, and Schumann’s Phantasiestiicke for piano, violin, and violoncello, Op. 88, a series of four movements originally designed as a trio, but afterwards re - named, perhaps on account of their sketchiness, and the absence of regular development, Herr Joachim gave Bach’s Chaconne, his grand rendering of which is too well known to need description, Miss Agnes Zimmermann played Schubert’s Impromptu in C minor, Op. go, and a selection of the Valses Nobles, Op. 77, and Miss Thudichum contributed songs by Purcell and Cowen.",Herr Joachim,person,(NIL),occupation,What is the occupation of Herr Joachim?
"The concerted works were Beethoven’s third Rasoumowski Quartet in C, Op. 59, and Schumann’s Phantasiestiicke for piano, violin, and violoncello, Op. 88, a series of four movements originally designed as a trio, but afterwards re - named, perhaps on account of their sketchiness, and the absence of regular development, Herr Joachim gave Bach’s Chaconne, his grand rendering of which is too well known to need description, Miss Agnes Zimmermann played Schubert’s Impromptu in C minor, Op. go, and a selection of the Valses Nobles, Op. 77, and Miss Thudichum contributed songs by Purcell and Cowen.",Miss Thudichum,person,(NIL),occupation,What is the occupation of Miss Thudichum?
"The great drawback upon her singing was an occasional infirmity in the’ sustaining power, not unlike, though not to the same extent, as the trembling of voice observed in Mademoiselle Bonini.",Mademoiselle Bonini,person,(NIL),occupation,What is the occupation of Mademoiselle Bonini?
"Translated by John Bishop, and dedicated to the Author's friend, Professor Taylor.",John Bishop,person,(NIL),occupation,What is the occupation of John Bishop?
"Translated by John Bishop, and dedicated to the Author's friend, Professor Taylor.",Professor Taylor,person,(NIL),occupation,What is the occupation of Professor Taylor?
"Tam waiting for the arrival at Hamburg ‘of her dear mortal remains, inorder. to go there ‘andl ‘Jast resting place in the Convent of Maria Jhal, near Dresden, where her ‘sistér is a nun, and where, in gonseqnéence, the holy prayers of those who loved her most will not be wanting, I am ‘having a small chapel built there, with two tombs, turn to.my faniily 2 shall meet you, no. doubt, in the spring, ebut will not promise vou that the pleasure of secing you ‘will be exempt from all sadnes impossible for me to separate vour - presence from the remembrance of my dear Henriette: the idea of being ‘able to’ talk of the angel whom 1. have lost with these, wha feel as: yen ‘do. has, however, its consolation.",Tam,person,(NIL),occupation,What is the occupation of Tam?
"Tam waiting for the arrival at Hamburg ‘of her dear mortal remains, inorder. to go there ‘andl ‘Jast resting place in the Convent of Maria Jhal, near Dresden, where her ‘sistér is a nun, and where, in gonseqnéence, the holy prayers of those who loved her most will not be wanting, I am ‘having a small chapel built there, with two tombs, turn to.my faniily 2 shall meet you, no. doubt, in the spring, ebut will not promise vou that the pleasure of secing you ‘will be exempt from all sadnes impossible for me to separate vour - presence from the remembrance of my dear Henriette: the idea of being ‘able to’ talk of the angel whom 1. have lost with these, wha feel as: yen ‘do. has, however, its consolation.",Henriette,person,(NIL),occupation,What is the occupation of Henriette?
